decimalLongitude,decimalLatitude,institutionCode,catalogNumber,geodeticDatum,coordinateUncertaintyInMeters,minimumElevationInMeters,occid,recordID
-130.04,63.25,UBC,L10747,unknown,505,,3060718,urn:uuid:56bf6a45-cb87-4996-9f29-154a03f80a9f
-106,63.25,MIN,621547,unknown,,,303994,urn:uuid:e4ca9559-5f14-49de-be9a-c475511631b4
-106,63.25,CMN,CANL 10003370,unknown,,,456302,urn:uuid:23de3029-b73c-40db-9331-f440402fc30c
-106,63.25,WIS,WIS-L-0044615,unknown,,,1100279,urn:uuid:be6e31aa-2ab0-412f-ae0d-b6cea6b65bfd
10.3542,63.2614,O,130920,WGS84,7,700,2116149,urn:uuid:2c8e294c-d818-46e9-9e15-0e9e4209e431
10.4623,63.2811,TRH,16293/1,WGS84,71,140,3845985,urn:uuid:b4502a2d-2b12-4a56-810d-1432b19421c6
10.407,63.3138,TRH,4629/1,ED50,707,280,3801589,urn:uuid:b43531e8-1841-4e93-936c-3ee0f0f8fe30
10.4869,63.3145,TRH,4531/1,WGS84,707,170,3819487,urn:uuid:dfb39268-ee92-464b-a24c-c6ac43c3adf8
10.4869,63.3145,TRH,4532/1,WGS84,707,170,3801176,urn:uuid:ed823518-7c8a-4a7e-aa10-971ef4c95a53
10.6958,63.3198,TRH,9587/1,WGS84,71,370,3803175,urn:uuid:97d0dc29-391a-4b71-a2e2-80c0a545b664
12.0406,63.3338,O,82434,WGS84,918,440,2082531,urn:uuid:05c512cd-4d15-4a2e-9850-72b607dbce0c
10.4025,63.3338,TRH,16942/1,WGS84,10,,3798174,urn:uuid:e51b9588-209d-4386-9427-92851fa74323
10.4071,63.3356,TRH,16294/1,WGS84,71,140,3827490,urn:uuid:6c20fa7b-0229-41ee-a6b9-edd121ac52ac
10.4071,63.3356,TRH,16295/1,WGS84,71,140,3809210,urn:uuid:a27cf862-af67-479b-8ccb-6d9d93087794
-90.701389,63.338889,QFA,QFA0168656,unknown,,,2659352,urn:uuid:54cdd2ba-79a5-4528-9dec-f7550bd0327e
