decimalLongitude,decimalLatitude,institutionCode,catalogNumber,geodeticDatum,coordinateUncertaintyInMeters,minimumElevationInMeters,recordID,references
5.2924,61.7606,BG,30613,ED50,71,,f76a74fa-5ae7-42dd-8397-4b68f6e7db1c,https://lichenportal.org/portal/collections/individual/index.php?occid=2309376
6.0278,61.4393,BG,30611,ED50,707,,25a5268f-d92e-430a-8200-83937130a0f0,https://lichenportal.org/portal/collections/individual/index.php?occid=2310151
20.2748,69.3835,BG,30621,ED50,3536,,164d8771-cbae-40b0-81c5-e695cfab6c7d,https://lichenportal.org/portal/collections/individual/index.php?occid=2317988
10.6509,59.3245,BG,30556,ED50,814,1,d2bcc550-1377-417b-a065-bb28a050b28a,https://lichenportal.org/portal/collections/individual/index.php?occid=2320060
11.2346,64.2011,TRH,7940/1,ED50,707,60,23b41369-853d-4e4d-9df8-d3615a19a46e,https://lichenportal.org/portal/collections/individual/index.php?occid=3803332
16.5303,67.8084,TRH,25770/1,ED50,707,70,aa9496be-ef9b-4d68-80d9-98c6e3903310,https://lichenportal.org/portal/collections/individual/index.php?occid=3812241
12.0883,66.5058,TRH,25772/1,ED50,707,,c235f703-6043-4441-8684-68d326b6328a,https://lichenportal.org/portal/collections/individual/index.php?occid=3812242
8.6406,61.7994,TRH,25612/1,ED50,5283,,35bf6d3e-dadb-4d88-8b13-a10b7f4359ee,https://lichenportal.org/portal/collections/individual/index.php?occid=3812376
6.914,62.2101,TRH,25626/1,ED50,707,330,522ac920-e4b1-407c-833f-611bd40e0834,https://lichenportal.org/portal/collections/individual/index.php?occid=3812462
6.2757,62.675,TRH,25629/1,ED50,707,200,45e490cb-8726-4d3d-af33-20549b2aa628,https://lichenportal.org/portal/collections/individual/index.php?occid=3812463
6.9411,62.7986,TRH,25638/1,ED50,7071,,8d7d4b0d-f1b3-46db-9b2b-ebe6ad49de3b,https://lichenportal.org/portal/collections/individual/index.php?occid=3812466
10.8531,64.35,TRH,7944/1,ED50,707,60,c98edacc-70ed-45af-9cb2-ddb3c61f5454,https://lichenportal.org/portal/collections/individual/index.php?occid=3823744
8.6281,63.5222,TRH,680580/1,ED50,1803,75,5fa57839-6cae-458b-8479-2ace292d7dcc,https://lichenportal.org/portal/collections/individual/index.php?occid=3823883
10.3371,63.0991,TRH,25768/1,ED50,707,480,ebb05a4e-348f-460e-bf2a-d3bc5d057755,https://lichenportal.org/portal/collections/individual/index.php?occid=3825301
12.0883,66.5058,TRH,25773/1,ED50,707,,4428acce-7787-435f-9c0f-93c02607e7c9,https://lichenportal.org/portal/collections/individual/index.php?occid=3825302
5.4991,58.7576,TRH,25622/1,ED50,707,,a6f52106-cd38-4249-962c-274b9e286e89,https://lichenportal.org/portal/collections/individual/index.php?occid=3827105
6.1782,62.6731,TRH,25630/1,ED50,707,270,d9f93ed0-6a67-42b6-a015-26224442f06c,https://lichenportal.org/portal/collections/individual/index.php?occid=3827106
8.3665,63.5347,TRH,25769/1,ED50,707,20,7c8ba8cb-b866-4c41-9423-81819c1ac510,https://lichenportal.org/portal/collections/individual/index.php?occid=3833752
12.8666,66.478,TRH,25779/1,ED50,7071,,06e795ce-7881-46e2-91e1-98a1ff607630,https://lichenportal.org/portal/collections/individual/index.php?occid=3833753
10.0066,58.9884,TRH,25614/1,ED50,570,,0f50c71e-2cb0-4018-a3b1-80bbc01cd6ef,https://lichenportal.org/portal/collections/individual/index.php?occid=3834481
